2016-11-25 10:51:44,997 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_QuanLy.aspx.cs; Line Number: 103 ;Message: Thread was being aborted.
2016-11-25 10:51:44,998 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Thread was being aborted.
2016-11-25 10:54:34,131 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,144 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,144 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,145 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,145 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,145 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:54:34,145 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
2016-11-25 10:54:34,145 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_QuanLy.aspx.cs; Line Number: 103 ;Message: Thread was being aborted.
2016-11-25 10:54:34,146 [35] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=DCB25ED1-776C-45DF-86BC-6A6DC8B38495 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Thread was being aborted.
2016-11-25 15:28:22,500 [13] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 26 ;Message: Object reference not set to an instance of an object.
